year,nation,peoptrust,lifesat,decision,marital,war,leftrigh,religious,divorce,suicide,proud,sex,age,education,ethnic
1990,Britain,careful,7,7,single,no,3,relig,never,never,very,male,29,16,not applicable
1990,USA,trusted,7,7,married,yes,7,relig,2,never,very,female,58,"dk, na",white
1990,Britain,trusted,8,7,single,yes,4,relig,8,never,quite,female,59,16,not applicable
1990,USA,careful,9,5,married,no,6,relig,never,never,quite,female,25,18,white
1990,Sweden,trusted,7,7,divorced,yes,3,relig,9,6,not very,female,45,19,not applicable
1990,France,careful,8,8,married,yes,5,relig,5,never,quite,male,25,18,not applicable
1990,USA,trusted,9,grt deal,married,yes,9,relig,4,never,very,female,34,20,white
1990,Britain,careful,9,9,married,yes,8,relig,5,never,very,male,54,21,not applicable
1990,France,trusted,9,8,married,yes,left,relig,5,5,very,male,35,20,not applicable
1990,Britain,trusted,8,8,married,yes,8,not rel,5,2,very,male,48,15,not applicable
1990,USA,careful,7,8,separat,yes,7,relig,4,3,quite,male,38,21,white
1990,Britain,careful,satisf,5,married,yes,right,relig,always,never,very,male,76,14,not applicable
1990,USA,careful,7,8,married,yes,7,relig,2,2,quite,female,35,18,white
1990,Britain,careful,9,9,married,yes,right,atheist,6,6,very,male,50,15,not applicable
1990,Britain,careful,8,7,married,yes,5,relig,5,6,quite,female,57,17,not applicable
1990,Britain,trusted,5,5,married,no,5,relig,5,never,quite,female,45,15,not applicable
1990,USA,careful,7,7,widow,yes,6,relig,7,never,very,male,62,18,white
1990,Britain,trusted,3,3,married,no,5,relig,never,never,quite,female,83,14,not applicable
1990,USA,trusted,8,9,single,yes,3,not rel,6,3,very,male,31,21,black
1990,Sweden,trusted,8,6,married,yes,7,relig,5,never,very,female,59,"dk, na",not applicable
1990,Britain,trusted,9,8,single,yes,3,not rel,always,8,very,female,27,16,not applicable
1990,France,careful,6,6,married,yes,9,relig,always,2,quite,female,43,14,not applicable
1990,USA,trusted,8,9,married,no,7,relig,5,never,quite,female,27,21,white
1990,USA,trusted,9,6,married,yes,7,relig,never,never,very,female,61,18,white
1990,Sweden,careful,7,6,divorced,yes,5,not rel,5,6,quite,male,61,"dk, na",not applicable
1990,Sweden,trusted,8,9,married,yes,8,not rel,9,never,not very,male,47,"dk, na",not applicable
1990,USA,trusted,8,7,married,yes,7,relig,7,3,very,male,52,16,white
1990,Britain,careful,satisf,3,married,yes,4,relig,6,7,quite,male,54,15,not applicable
1990,Britain,careful,7,7,single,yes,5,not rel,7,never,very,female,26,16,not applicable
